Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA20,RSI,Unemployment_Rate,CPI,Fed_Funds_Rate,SP500
2019-02-21,42.950001,43.092499,42.575001,42.764999,41.452755,68998800,42.7619996,41.8301247,62.581644666724245,3.8,253.319,2.4,2706.53
2019-02-22,42.895,43.25,42.845001,43.2425,41.915615,75652800,42.8704994,42.08349975,65.97320304078465,3.8,253.319,2.4,2706.53
2019-02-25,43.540001,43.967499,43.487499,43.557499,42.220951,87493600,43.060999200000005,42.28937474999999,58.91144357685013,3.8,253.319,2.4,2706.53
2019-02-26,43.427502,43.825001,43.2925,43.5825,42.245182,68280800,43.2309996,42.514749699999996,50.53998311310881,3.8,253.319,2.4,2706.53
2019-02-27,43.302502,43.75,43.182499,43.717499,42.376034,111341600,43.3729994,42.76712475,52.19203164805012,3.8,253.319,2.4,2706.53
2019-02-28,43.580002,43.727501,43.23,43.287498,41.959232,112861600,43.4774992,42.865874649999995,58.63948012095658,3.8,253.319,2.4,2706.53
2019-03-01,43.57,43.787498,43.2225,43.7425,42.400265,103544800,43.5774992,42.972499600000006,66.1930986089549,3.8,254.277,2.41,2803.69
2019-03-04,43.922501,44.4375,43.4925,43.962502,42.613525,109744800,43.6584998,43.08912465,72.96133863841469,3.8,254.277,2.41,2803.69
2019-03-05,43.985001,44.0,43.634998,43.8825,42.535969,78949600,43.7184998,43.14262465,68.06845702230592,3.8,254.277,2.41,2803.69
2019-03-06,43.6675,43.872501,43.485001,43.630001,42.291229,83241600,43.701000199999996,43.1468748,66.51445002771682,3.8,254.277,2.41,2803.69
2019-03-07,43.467499,43.610001,43.005001,43.125,41.80172,99185600,43.6685006,43.125124750000005,55.84591399911251,3.8,254.277,2.41,2803.69
2019-03-08,42.580002,43.267502,42.375,43.227501,41.901073,95997600,43.5655008,43.14974975,58.544948001501176,3.8,254.277,2.41,2803.69
2019-03-11,43.872501,44.779999,43.837502,44.724998,43.352627,128044000,43.718,43.2558746,69.87527999955316,3.8,254.277,2.41,2803.69
2019-03-12,45.0,45.6675,44.842499,45.227501,43.839703,129870400,43.9870002,43.39937475,71.18317926553182,3.8,254.277,2.41,2803.69
2019-03-13,45.5625,45.825001,45.23,45.427502,44.033569,124130000,44.346500400000004,43.53462485,75.61326012133888,3.8,254.277,2.41,2803.69
2019-03-14,45.974998,46.025002,45.639999,45.932499,44.523071,94318000,44.908000200000004,43.7039999,75.74159259177745,3.8,254.277,2.41,2803.69
2019-03-15,46.212502,46.8325,45.935001,46.529999,45.102238,156171600,45.5684998,43.895499799999996,76.98589888054593,3.8,254.277,2.41,2803.69
2019-03-18,46.450001,47.0975,46.447498,47.005001,45.562668,104879200,46.0245004,44.11549985,78.7242717465544,3.8,254.277,2.41,2803.69
2019-03-19,47.087502,47.247501,46.48,46.6325,45.201595,126585600,46.3055002,44.31049995,73.52701182516445,3.8,254.277,2.41,2803.69
